REGISTRO,ANNO,NUMERO
PG,2023,58873
PG,2023,62823
PG,2023,80695
PG,2023,56220
PG,2023,108122
PG,2023,54679
PG,2023,56008
PG,2023,66063
PG,2023,101758
PG,2023,69570
PG,2023,101321
PG,2023,80801
PG,2023,101790
PG,2023,82578
PG,2023,106817
PG,2023,43786
PG,2023,108631
PG,2023,88257
PG,2023,69487
PG,2023,64604
PG,2023,51653
PG,2023,79916
PG,2023,83345
PG,2023,51359
PG,2023,32305
PG,2023,30015
PG,2023,67792
PG,2023,107397
PG,2023,93009
PG,2023,86488
PG,2023,108319
PG,2023,71049
PG,2023,72098
PG,2023,58141
PG,2023,101101
PG,2023,72077
PG,2023,101811
PG,2023,91626
PG,2023,83459
PG,2023,82629
PG,2023,100588
PG,2023,89805
PG,2023,55871
PG,2023,67145
PG,2023,83435
PG,2023,59257
PG,2023,53012
PG,2023,104773
PG,2023,30865
PG,2023,60380
PG,2023,58731
PG,2023,62905
PG,2023,46443
PG,2023,69614
PG,2023,81466
PG,2023,65134
PG,2023,74613
PG,2023,83910
PG,2023,69740
PG,2023,56160
PG,2023,71292
PG,2023,91848
PG,2023,66906
PG,2023,83103
PG,2023,88734
PG,2023,74566
PG,2023,80503
PG,2023,30675
PG,2023,68350
PG,2023,75352
PG,2023,53407
PG,2023,60633
PG,2023,81463
PG,2023,103716
PG,2023,104157
PG,2023,100869
PG,2023,105762
PG,2023,8634
PG,2023,41083
PG,2023,89526
PG,2023,72511
PG,2023,58057
PG,2023,104010
PG,2023,72504
PG,2023,40801
PG,2023,83948
PG,2023,93125
PG,2023,48742
PG,2023,62098
PG,2023,53476
PG,2023,91172
PG,2023,61878
PG,2023,87460
PG,2023,63242
PG,2023,76090
PG,2023,61929
PG,2023,82523
PG,2023,67437
PG,2023,64055
PG,2023,64561
PG,2023,59268
PG,2023,91001
PG,2023,56039
PG,2023,41667
PG,2023,101012
PG,2023,76658
PG,2023,104155
PG,2023,80670
PG,2023,67415
PG,2023,60115
PG,2023,84229
PG,2023,46499
PG,2023,102201
PG,2023,92611
PG,2023,59529
PG,2023,64387
PG,2023,66328
PG,2023,102703
PG,2023,63237
PG,2023,68503
PG,2023,55950
PG,2023,56151
PG,2023,72898
PG,2023,103456
PG,2023,44371
PG,2023,77336
PG,2023,90384
PG,2023,87449
PG,2023,62542
PG,2023,1294
PG,2023,86929
PG,2023,83660
PG,2023,105182
PG,2023,47650
PG,2023,32385
PG,2023,57455
PG,2023,107606
PG,2023,58293
PG,2023,101673
PG,2023,68110
PG,2023,85598
PG,2023,68977
PG,2023,69505
PG,2023,55769
PG,2023,74596
PG,2023,75948
PG,2023,54675
PG,2023,88764
PG,2023,55136
PG,2023,103611
PG,2023,70223
PG,2023,73011
PG,2023,71410
PG,2023,49758
PG,2023,62770
PG,2023,44834
PG,2023,57956
PG,2023,87874
PG,2023,80693
PG,2023,49649
PG,2023,60151
PG,2023,69888
PG,2023,65954
DETE,2023,1280
PG,2023,80345
PG,2023,52047
